Delta_TP9,Delta_AF7,Delta_AF8,Delta_TP10,Theta_TP9,Theta_AF7,Theta_AF8,Theta_TP10,Alpha_TP9,Alpha_AF7,Alpha_AF8,Alpha_TP10,Beta_TP9,Beta_AF7,Beta_AF8,Beta_TP10,Gamma_TP9,Gamma_AF7,Gamma_AF8,Gamma_TP10,RAW_TP9,RAW_AF7,RAW_AF8,RAW_TP10
-0.0016715446089233582,-0.00011753048031492363,-0.0001003906186023306,-0.0016715446089233582,-0.0051232059674179,-0.00036022541958407103,-0.00030769254589472735,-0.0051232059674179,-0.017501083106927443,-0.001230544905955836,-0.0010510904405039432,-0.017501083106927443,-1.1590249320037274,-0.08149394053151207,-0.06960940753733323,-1.1590249320037274,-0.5770974714460759,-0.040577165961052215,-0.0346596625917321,-0.5770974714460759,-1000.0,-70.3125,-60.05859375,-1000.0
-0.014359713820168039,-0.001025895409252347,-0.0008530584288361792,-0.014051196309341363,-0.043349561714466286,-0.003097754214127049,-0.0025748080088330806,-0.0424039699880581,-0.1437896369669352,-0.010280116443945619,-0.008537743510347114,-0.14055945658880115,-7.9946629973115675,-0.5733770249114849,-0.4736541134709724,-7.780741403416348,-3.0173452276428256,-0.21775978203103188,-0.17798399079982857,-2.9108301669950634,-792.48046875,-65.4296875,-41.9921875,-607.91015625
-0.05949967639031398,-0.004493997812872288,-0.003616258117412279,-0.05676160678104462,-0.17574877108744966,-0.01330234935849464,-0.01069008799958956,-0.16747895478625494,-0.5580352635129087,-0.04242337056484312,-0.033999575063649555,-0.5305778216943984,-23.593146581447517,-1.855089198379931,-1.4576361288245816,-22.056764250677325,-4.55881756750448,-0.40887871694415323,-0.2994415030067031,-3.9716294700942134,779.78515625,-55.17578125,-22.4609375,978.515625
-0.16238852833497416,-0.013505316778994532,-0.01048169535130915,-0.15056956279975034,-0.46506786055799354,-0.03896580576706556,-0.03015350095958122,-0.43009895324326514,-1.3839179910677883,-0.11786039509539536,-0.0906277685873957,-1.2725008690202213,-36.47944498685348,-3.640085828147519,-2.6505810231913762,-31.647362055906612,4.4414001402668015,-0.054687712941938,0.06861548558026172,5.470033630735658,543.45703125,-59.5703125,-32.2265625,491.2109375
-0.3393600726516025,-0.0319691695766226,-0.023966211464310026,-0.3054475307188689,-0.9319704200245924,-0.08936975757281156,-0.06665364055541936,-0.8344356514896524,-2.524641498368462,-0.2525312397835702,-0.18612984641642696,-2.2316895917119495,-23.070517362227122,-4.650318963744186,-2.991255513013217,-14.6302036424354,23.480285841762264,1.1214937450661904,1.016076662995378,23.085228065436848,-958.0078125,-58.59375,-51.26953125,-1000.0
-0.6003948727611409,-0.06436140624137102,-0.04691959977543942,-0.5256654634573575,-1.5639575800861585,-0.17325434367126952,-0.12537114405672464,-1.3569606428654537,-3.7253520672180955,-0.4495143275114753,-0.3194532197139634,-3.152994574531887,23.277813846126026,-3.3301923745623863,-1.5815080016437273,30.92638250384653,23.984489953175032,2.0949785504598233,1.4874321716671166,19.73545732822713,-1000.0,-34.66796875,-48.33984375,-1000.0
-0.9621523692484752,-0.11529345226743468,-0.08253676785977294,-0.8238371219186982,-2.357705311298791,-0.29689069150672487,-0.21066082256532567,-1.992358087145482,-4.767238035562407,-0.6926466781854554,-0.4803102235485449,-3.8643629482864448,74.82576374276354,1.0333169290629873,1.4940758657948057,73.90501839834292,-19.60207304730754,1.1582619121492117,0.2176727661870229,-25.59235140891843,145.5078125,-16.11328125,-23.92578125,341.30859375
-1.4479807817558779,-0.18896570585340142,-0.1341255510929187,-1.2197272947854358,-3.318064322624311,-0.4620483487717408,-0.32503614531771663,-2.748528174436654,-5.490534753181224,-0.943127545527357,-0.6476687822063336,-4.2757257561630215,94.98478313848626,7.620581248187771,5.224282063946289,80.53294215971485,-72.50265001167865,-1.8975470332008162,-2.2418813082337716,-71.97998930907988,951.171875,-15.625,-16.11328125,959.9609375
-2.074141928334548,-0.2887651910957045,-0.20474155094135865,-1.72559066337985,-4.414164677176791,-0.6647910118817246,-0.4679048430934603,-3.59962932258744,-5.661264257679968,-1.1426464891215344,-0.7891370151824466,-4.223589605626569,74.33857473620688,14.066556372041273,8.23550094094637,49.24990807753702,-56.86737469571377,-4.729520018546918,-3.3805841619831876,-44.302088857609895,-474.12109375,-38.0859375,-52.734375,-495.60546875
-2.8450077981238078,-0.4172616946222976,-0.2971115630443149,-2.3422842771330608,-5.567991804429989,-0.8959083812525286,-0.635446190221351,-4.477219004062049,-4.974676134875842,-1.224914669306548,-0.8661152327405578,-3.4731987130044133,29.846198029661924,17.15919158973401,9.185262736000663,3.7221831014327806,42.94571143628739,-4.278658966293036,-1.4106031461794415,59.25658272340585,-1000.0,-52.734375,-56.15234375,-1000.0
